Response_ID,Language,Language_Label,Record_Type,Source_File,Timestamp,Q01_Physical_symptoms_PM25_smoke,Q02_Age_group,Q03_Activities_stopped_or_changed,Q04_Items_bought_or_used_more,Q05_Neighborhood_or_market_changes,Q06_Outdoor_smoke_management,Q07_Mood_or_stress_impact,Q08_Air_quality_affects_interaction,Q09_Indoor_air_and_heat_management,Q10_Less_time_public_places,Q11_Reasons_people_do_not_wear_masks,Q12_Only_wear_mask_when_sick_or_dusty,Q13_Dust_or_ash_cleaning_frequency,Q14_Main_reason_for_wearing_mask,Q15_Smoke_feels_normal_forever,Q16_Feelings_living_here_smoky_season,Q17_Remove_mask_in_air_conditioned_indoor_place,Q18_Biggest_cause_air_pollution,Q19_How_check_PM25_bad_today,Q20_Air_quality_improve_next_5_years
R024,TH,Thai,Original,ฝุ่นควัน_PM2.5_ในพื้นที่แม่สอด_Maesot_and_Tak_Area_PM_2.5_response_Thai(1).csv,30/03/2026 13:50:42,"มีอาการแพ้ (จาม, แสบตา/คันตา)",ต่ำกว่า 18 ปี,"การไปนั่งเล่นกับเพื่อนตามคาเฟ่หรือสวนสาธารณะ, การเดินทางหรือไปเที่ยวรอบๆ พื้นที่แม่สอด, การทำงานหรือนั่งเรียนในพื้นที่เปิดโล่ง (Outdoor)","หน้ากากอนามัย, อุปกรณ์ทำความสะอาดภายในบ้าน, ยาหยอดตาหรือสเปรย์ฉีดจมูก, เครื่องฟอกอากาศหรือแผ่นกรองอากาศใหม่, ยาแก้ไอหรือยาแก้แพ้","อากาศมีกลิ่นเหมือนการเผาไหม้หรือกลิ่นควันไม้, ทุกอย่างดูเป็นสีเทาไปหมด","สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์, เดินทางโดยรถยนต์ (ปิดกระจก)",ฉันรู้สึกรำคาญใจเล็กน้อย,ไม่ หมอกควันไม่ได้ทำให้วิธีการเข้าสังคมหรือการพูดคุยกับผู้คนของฉันเปลี่ยนไป,ใช้พัดลมและเปิดหน้าต่างทิ้งไว้,ออกไปเฉพาะเวลาทำงานหรือไปหาอาหารเท่านั้น,คิดว่าหน้ากากอนามัยไม่จำเป็น,ใช่ เฉพาะตอนที่ฉันเริ่มรู้สึกไม่ดีหรือเห็นฝุ่นเท่านั้น,2-3 ครั้งต่อสัปดาห์,ฉันสวมบ้างเป็นบางครั้ง แต่จะถอดออกเมื่อไม่ได้อยู่ที่ทำงาน,ไม่ ฉันยังรู้สึกว่ามันเป็นปัญหาที่อันตรายและไม่ควรเป็นเรื่องปกติ,ฉันอยากย้ายออกไป แต่ไม่มีทางเลือกเพราะเรื่องงานหรือเรื่องเรียน,ใช่ ฉันรู้สึกปลอดภัยจากหมอกควันเมื่ออยู่ข้างใน,"การเผาพื้นที่เกษตรกรรมและไฟป่า, ควันจากรถยนต์เก่า รถบรรทุก และรถจักรยานยนต์, การเผาขยะ หรือการสูบบุหรี่ในที่สาธารณะ",ตรวจสอบผ่านแอปพลิเคชันพยากรณ์อากาศหรือเว็บไซต์ (เช่น IQAir / AirVisual),ไม่ ฉันคิดว่ามันจะเหมือนเดิมหรือแย่ลงกว่าเดิม
R025,TH,Thai,Original,ฝุ่นควัน_PM2.5_ในพื้นที่แม่สอด_Maesot_and_Tak_Area_PM_2.5_response_Thai(1).csv,30/03/2026 14:55:08,มีปัญหาทางด้านการหายใจหรือระบบทางเดินหายใจ,ต่ำกว่า 18 ปี,"การเล่นกีฬา(ฟุตบอล, วิ่ง และอื่นๆ)","หน้ากากอนามัย, อุปกรณ์ทำความสะอาดภายในบ้าน",ผู้คนสวมหน้ากากอนามัยกันมากขึ้น,สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์,ฉันรู้สึกรำคาญใจเล็กน้อย,ใช่ บางครั้งฉันพูดน้อยลงเพราะต้องการใส่หน้ากากอนามัยไว้ตลอดเวลา,"เปิดหน้าต่างและประตูทุกบานเพื่อให้ระบายอากาศ, ใช้พัดลมและเปิดหน้าต่างทิ้งไว้",ใช้เวลาเท่าเดิมตามปกติ,-,ใช่ เฉพาะตอนที่ฉันเริ่มรู้สึกไม่ดีหรือเห็นฝุ่นเท่านั้น,2-3 ครั้งต่อสัปดาห์,ฉันสวมเพราะต้องการดูแลและป้องกันสุขภาพของตัวเอง,ไม่ ฉันยังรู้สึกว่ามันเป็นปัญหาที่อันตรายและไม่ควรเป็นเรื่องปกติ,ฉันไม่ได้สนใจเรื่องหมอกควัน ฉันแค่โฟกัสกับการใช้ชีวิตประจำวันของตัวเอง,ฉันจะสวมหน้ากากก็ต่อเมื่อมีคนอยู่รอบๆจำนวนมากเท่านั้น,ควันลอยมาจากพื้นที่ฝั่งประเทศเพื่อนบ้าน (ข้ามพรมแดน),ไม่ได้ตรวจสอบ จะรู้ก็ต่อเมื่อเริ่มรู้สึกไม่สบายหรือป่วยเท่านั้น,ไม่ ฉันคิดว่ามันจะเหมือนเดิมหรือแย่ลงกว่าเดิม
R026,TH,Thai,Original,ฝุ่นควัน_PM2.5_ในพื้นที่แม่สอด_Maesot_and_Tak_Area_PM_2.5_response_Thai(1).csv,30/03/2026 15:14:09,มีปัญหาทางด้านการหายใจหรือระบบทางเดินหายใจ,ต่ำกว่า 18 ปี,"การเล่นกีฬา(ฟุตบอล, วิ่ง และอื่นๆ), การไปนั่งเล่นกับเพื่อนตามคาเฟ่หรือสวนสาธารณะ, การเดินทางหรือไปเที่ยวรอบๆ พื้นที่แม่สอด, การทำงานหรือนั่งเรียนในพื้นที่เปิดโล่ง (Outdoor), การออกกำลังกายหรือเดินเล่นนอกบ้าน","หน้ากากอนามัย, อุปกรณ์ทำความสะอาดภายในบ้าน, เครื่องฟอกอากาศหรือแผ่นกรองอากาศใหม่","ผู้คนสวมหน้ากากอนามัยกันมากขึ้น, คนออกมาเดินเล่นหรือซื้อของน้อยลง, อากาศมีกลิ่นเหมือนการเผาไหม้หรือกลิ่นควันไม้, มองเห็นภูเขาหรือตึกที่อยู่ไกลออกไปได้ยาก, ทุกอย่างดูเป็นสีเทาไปหมด","สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์, เดินทางโดยรถยนต์ (ปิดกระจก)",ฉันรู้สึกเครียดและกังวลมาก,ไม่ หมอกควันไม่ได้ทำให้วิธีการเข้าสังคมหรือการพูดคุยกับผู้คนของฉันเปลี่ยนไป,อยู่ในห้องที่เปิดเครื่องปรับอากาศ (แอร์) และปิดหน้าต่างทุกบาน,ส่วนใหญ่จะอยู่แต่ภายในอาคาร,"ใช้ชีวิตในแต่ละวันไม่สะดวกสบาย, หายใจไม่ออกเนื่องจากมลพิษเยอะ",ใช่ เฉพาะตอนที่ฉันเริ่มรู้สึกไม่ดีหรือเห็นฝุ่นเท่านั้น,2-3 ครั้งต่อสัปดาห์,ฉันสวมเพราะต้องการดูแลและป้องกันสุขภาพของตัวเอง,ใช่ มันกลายเป็นเรื่องปกติของทุกปีไปแล้ว,ฉันจะอยู่ที่นี่ต่อไปและยอมรับว่ามันเป็นส่วนหนึ่งของชีวิต,ใช่ ฉันรู้สึกปลอดภัยจากหมอกควันเมื่ออยู่ข้างใน,"การเผาพื้นที่เกษตรกรรมและไฟป่า, ควันจากรถยนต์เก่า รถบรรทุก และรถจักรยานยนต์, การเผาขยะ หรือการสูบบุหรี่ในที่สาธารณะ, ควันลอยมาจากพื้นที่ฝั่งประเทศเพื่อนบ้าน (ข้ามพรมแดน)",สังเกตจากท้องฟ้าหรือกลุ่มก้อนเมฆด้วยตาเปล่า,ใช่ ฉันเชื่อว่ามันจะดีขึ้น
R027,TH,Thai,Original,ฝุ่นควัน_PM2.5_ในพื้นที่แม่สอด_Maesot_and_Tak_Area_PM_2.5_response_Thai(1).csv,30/03/2026 15:22:01,มีปัญหาทางด้านการหายใจหรือระบบทางเดินหายใจ,18-25 ปี,"การเล่นกีฬา(ฟุตบอล, วิ่ง และอื่นๆ), การทำงานหรือนั่งเรียนในพื้นที่เปิดโล่ง (Outdoor), การออกกำลังกายหรือเดินเล่นนอกบ้าน","อุปกรณ์ทำความสะอาดภายในบ้าน, ใช้ไฟฟ้ามากขึ้นสำหรับพัดลมหรือเครื่องปรับอากาศ (แอร์), ยาแก้ไอหรือยาแก้แพ้","อากาศมีกลิ่นเหมือนการเผาไหม้หรือกลิ่นควันไม้, มองเห็นภูเขาหรือตึกที่อยู่ไกลออกไปได้ยาก, ทุกอย่างดูเป็นสีเทาไปหมด",เดินทางโดยรถยนต์ (ปิดกระจก),ฉันรู้สึกเครียดและกังวลมาก,ใช่ บางครั้งฉันพูดน้อยลงเพราะต้องการใส่หน้ากากอนามัยไว้ตลอดเวลา,อยู่ในห้องที่เปิดเครื่องปรับอากาศ (แอร์) และปิดหน้าต่างทุกบาน,ออกไปเฉพาะเวลาทำงานหรือไปหาอาหารเท่านั้น,ราคา ความสะดวกสบาย,ใช่ เฉพาะตอนที่ฉันเริ่มรู้สึกไม่ดีหรือเห็นฝุ่นเท่านั้น,2-3 ครั้งต่อสัปดาห์,ฉันสวมบ้างเป็นบางครั้ง แต่จะถอดออกเมื่อไม่ได้อยู่ที่ทำงาน,ไม่ ฉันยังรู้สึกว่ามันเป็นปัญหาที่อันตรายและไม่ควรเป็นเรื่องปกติ,ฉันอยากย้ายออกไป แต่ไม่มีทางเลือกเพราะเรื่องงานหรือเรื่องเรียน,ใช่ ฉันรู้สึกปลอดภัยจากหมอกควันเมื่ออยู่ข้างใน,"การเผาพื้นที่เกษตรกรรมและไฟป่า, ควันจากรถยนต์เก่า รถบรรทุก และรถจักรยานยนต์, การเผาขยะ หรือการสูบบุหรี่ในที่สาธารณะ",สังเกตจากท้องฟ้าหรือกลุ่มก้อนเมฆด้วยตาเปล่า,ใช่ ฉันเชื่อว่ามันจะดีขึ้น
R028,TH,Thai,Original,ฝุ่นควัน_PM2.5_ในพื้นที่แม่สอด_Maesot_and_Tak_Area_PM_2.5_response_Thai(1).csv,30/03/2026 15:48:38,มีปัญหาทางด้านการหายใจหรือระบบทางเดินหายใจ,ต่ำกว่า 18 ปี,"การเดินทางหรือไปเที่ยวรอบๆ พื้นที่แม่สอด, การทำงานหรือนั่งเรียนในพื้นที่เปิดโล่ง (Outdoor)","หน้ากากอนามัย, ยาหยอดตาหรือสเปรย์ฉีดจมูก, ยาแก้ไอหรือยาแก้แพ้",คนออกมาเดินเล่นหรือซื้อของน้อยลง,เดินทางโดยรถยนต์ (ปิดกระจก),ฉันรู้สึกรำคาญใจเล็กน้อย,ใช่ บางครั้งฉันพูดน้อยลงเพราะต้องการใส่หน้ากากอนามัยไว้ตลอดเวลา,อยู่ในห้องที่เปิดเครื่องปรับอากาศ (แอร์) และปิดหน้าต่างทุกบาน,ใช้เวลาเท่าเดิมตามปกติ,หายใจไม่สะดวก,ใช่ เฉพาะตอนที่ฉันเริ่มรู้สึกไม่ดีหรือเห็นฝุ่นเท่านั้น,2-3 ครั้งต่อสัปดาห์,ฉันสวมบ้างเป็นบางครั้ง แต่จะถอดออกเมื่อไม่ได้อยู่ที่ทำงาน,ใช่ มันกลายเป็นเรื่องปกติของทุกปีไปแล้ว,ฉันจะอยู่ที่นี่ต่อไปและยอมรับว่ามันเป็นส่วนหนึ่งของชีวิต,ใช่ ฉันรู้สึกปลอดภัยจากหมอกควันเมื่ออยู่ข้างใน,"การเผาพื้นที่เกษตรกรรมและไฟป่า, ควันจากรถยนต์เก่า รถบรรทุก และรถจักรยานยนต์, การเผาขยะ หรือการสูบบุหรี่ในที่สาธารณะ, ควันลอยมาจากพื้นที่ฝั่งประเทศเพื่อนบ้าน (ข้ามพรมแดน)",ตรวจสอบผ่านแอปพลิเคชันพยากรณ์อากาศหรือเว็บไซต์ (เช่น IQAir / AirVisual),ไม่ ฉันคิดว่ามันจะเหมือนเดิมหรือแย่ลงกว่าเดิม
R029,TH,Thai,Original,ฝุ่นควัน_PM2.5_ในพื้นที่แม่สอด_Maesot_and_Tak_Area_PM_2.5_response_Thai(1).csv,30/03/2026 16:31:30,"มีอาการแพ้ (จาม, แสบตา/คันตา)",ต่ำกว่า 18 ปี,"การเล่นกีฬา(ฟุตบอล, วิ่ง และอื่นๆ)",หน้ากากอนามัย,"อากาศมีกลิ่นเหมือนการเผาไหม้หรือกลิ่นควันไม้, มองเห็นภูเขาหรือตึกที่อยู่ไกลออกไปได้ยาก","สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์, เดินทางโดยรถยนต์ (ปิดกระจก)",ฉันรู้สึกปกติ / สงบ,ไม่ หมอกควันไม่ได้ทำให้วิธีการเข้าสังคมหรือการพูดคุยกับผู้คนของฉันเปลี่ยนไป,อยู่ในห้องที่เปิดเครื่องปรับอากาศ (แอร์) และปิดหน้าต่างทุกบาน,น้อยลงกว่าเดิมเล็กน้อย,ตอนใส่หน้ากากอนามัยมันอึดอัดมันร้อน,ไม่ ปกติฉันก็แทบจะไม่ใส่หน้ากากอยู่แล้ว,เฉพาะช่วงที่อากาศแย่มากๆ,ฉันสวมเพราะต้องการดูแลและป้องกันสุขภาพของตัวเอง,"ไม่ ฉันยังรู้สึกว่ามันเป็นปัญหาที่อันตรายและไม่ควรเป็นเรื่องปกติ, ฉันจะสังเกตเห็นเฉพาะช่วงเดือนที่ร้อนมากๆ เท่านั้น (ม.ค. - พ.ค.)",ฉันไม่ได้สนใจเรื่องหมอกควัน ฉันแค่โฟกัสกับการใช้ชีวิตประจำวันของตัวเอง,ใช่ ฉันรู้สึกปลอดภัยจากหมอกควันเมื่ออยู่ข้างใน,"การเผาพื้นที่เกษตรกรรมและไฟป่า, ควันจากรถยนต์เก่า รถบรรทุก และรถจักรยานยนต์, การเผาขยะ หรือการสูบบุหรี่ในที่สาธารณะ, ควันลอยมาจากพื้นที่ฝั่งประเทศเพื่อนบ้าน (ข้ามพรมแดน)",สังเกตจากท้องฟ้าหรือกลุ่มก้อนเมฆด้วยตาเปล่า,ใช่ ฉันเชื่อว่ามันจะดีขึ้น
R030,TH,Thai,Original,ฝุ่นควัน_PM2.5_ในพื้นที่แม่สอด_Maesot_and_Tak_Area_PM_2.5_response_Thai(1).csv,30/03/2026 20:29:17,"มีอาการแพ้ (จาม, แสบตา/คันตา)",ต่ำกว่า 18 ปี,การเดินทางหรือไปเที่ยวรอบๆ พื้นที่แม่สอด,"หน้ากากอนามัย, ยาหยอดตาหรือสเปรย์ฉีดจมูก","ผู้คนสวมหน้ากากอนามัยกันมากขึ้น, คนออกมาเดินเล่นหรือซื้อของน้อยลง",สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์,ฉันรู้สึกรำคาญใจเล็กน้อย,ไม่ หมอกควันไม่ได้ทำให้วิธีการเข้าสังคมหรือการพูดคุยกับผู้คนของฉันเปลี่ยนไป,ใช้พัดลมและเปิดหน้าต่างทิ้งไว้,ส่วนใหญ่จะอยู่แต่ภายในอาคาร,-,ไม่ ฉันใส่หน้ากากตลอดเวลาเพื่อความปลอดภัย,ทุกวัน,ฉันสวมบ้างเป็นบางครั้ง แต่จะถอดออกเมื่อไม่ได้อยู่ที่ทำงาน,ไม่ ฉันยังรู้สึกว่ามันเป็นปัญหาที่อันตรายและไม่ควรเป็นเรื่องปกติ,ฉันคิดว่าพื้นที่นี้ยังคงดีกว่าจังหวัดอื่นๆ,ฉันจะสวมหน้ากากก็ต่อเมื่อมีคนอยู่รอบๆจำนวนมากเท่านั้น,การเผาขยะ หรือการสูบบุหรี่ในที่สาธารณะ,ไม่ได้ตรวจสอบ จะรู้ก็ต่อเมื่อเริ่มรู้สึกไม่สบายหรือป่วยเท่านั้น,ใช่ ฉันเชื่อว่ามันจะดีขึ้น
R031,TH,Thai,Original,ฝุ่นควัน_PM2.5_ในพื้นที่แม่สอด_Maesot_and_Tak_Area_PM_2.5_response_Thai(1).csv,3/4/2026 12:23,"มีอาการแพ้ (จาม, แสบตา/คันตา)",18-25 ปี,"การไปนั่งเล่นกับเพื่อนตามคาเฟ่หรือสวนสาธารณะ, การทำงานหรือนั่งเรียนในพื้นที่เปิดโล่ง (Outdoor), การออกกำลังกายหรือเดินเล่นนอกบ้าน","หน้ากากอนามัย, อุปกรณ์ทำความสะอาดภายในบ้าน, ใช้ไฟฟ้ามากขึ้นสำหรับพัดลมหรือเครื่องปรับอากาศ (แอร์), เครื่องฟอกอากาศหรือแผ่นกรองอากาศใหม่","ผู้คนสวมหน้ากากอนามัยกันมากขึ้น, คนออกมาเดินเล่นหรือซื้อของน้อยลง, มองเห็นภูเขาหรือตึกที่อยู่ไกลออกไปได้ยาก",สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์,ฉันรู้สึกรำคาญใจเล็กน้อย,ใช่ บางครั้งฉันพูดน้อยลงเพราะต้องการใส่หน้ากากอนามัยไว้ตลอดเวลา,อยู่ในห้องที่เปิดเครื่องปรับอากาศ (แอร์) และปิดหน้าต่างทุกบาน,ส่วนใหญ่จะอยู่แต่ภายในอาคาร,หายใจไม่สะดวก,ไม่ ฉันใส่หน้ากากตลอดเวลาเพื่อความปลอดภัย,ทุกวัน,ฉันสวมเพราะต้องการดูแลและป้องกันสุขภาพของตัวเอง,ไม่ ฉันยังรู้สึกว่ามันเป็นปัญหาที่อันตรายและไม่ควรเป็นเรื่องปกติ,ฉันคิดว่าพื้นที่นี้ยังคงดีกว่าจังหวัดอื่นๆ,ใช่ ฉันรู้สึกปลอดภัยจากหมอกควันเมื่ออยู่ข้างใน,"การเผาพื้นที่เกษตรกรรมและไฟป่า, ควันจากรถยนต์เก่า รถบรรทุก และรถจักรยานยนต์, ควันลอยมาจากพื้นที่ฝั่งประเทศเพื่อนบ้าน (ข้ามพรมแดน)",ตรวจสอบผ่านแอปพลิเคชันพยากรณ์อากาศหรือเว็บไซต์ (เช่น IQAir / AirVisual),ไม่ ฉันคิดว่ามันจะเหมือนเดิมหรือแย่ลงกว่าเดิม
R032,TH,Thai,Original,ฝุ่นควัน_PM2.5_ในพื้นที่แม่สอด_Maesot_and_Tak_Area_PM_2.5_response_Thai(1).csv,4/4/2026 9:59,"มีอาการแพ้ (จาม, แสบตา/คันตา), รู้สึกป่วย, เหนื่อยล้า หรือเวียนหัว",ต่ำกว่า 18 ปี,"การไปนั่งเล่นกับเพื่อนตามคาเฟ่หรือสวนสาธารณะ, การเดินทางหรือไปเที่ยวรอบๆ พื้นที่แม่สอด, การทำงานหรือนั่งเรียนในพื้นที่เปิดโล่ง (Outdoor), การออกกำลังกายหรือเดินเล่นนอกบ้าน","หน้ากากอนามัย, ยาหยอดตาหรือสเปรย์ฉีดจมูก, ใช้ไฟฟ้ามากขึ้นสำหรับพัดลมหรือเครื่องปรับอากาศ (แอร์)","ผู้คนสวมหน้ากากอนามัยกันมากขึ้น, อากาศมีกลิ่นเหมือนการเผาไหม้หรือกลิ่นควันไม้, มองเห็นภูเขาหรือตึกที่อยู่ไกลออกไปได้ยาก, ทุกอย่างดูเป็นสีเทาไปหมด",สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์,ฉันรู้สึกเศร้าหรือหดหู่เพราะท้องฟ้าที่เป็นสีเทา,ไม่ หมอกควันไม่ได้ทำให้วิธีการเข้าสังคมหรือการพูดคุยกับผู้คนของฉันเปลี่ยนไป,อยู่ในห้องที่เปิดเครื่องปรับอากาศ (แอร์) และปิดหน้าต่างทุกบาน,ออกไปเฉพาะเวลาทำงานหรือไปหาอาหารเท่านั้น,การศึกษา และผลการทบที่ผู้คนคิดว่าไม่ส่งผลต่อร่างกาย,ใช่ เฉพาะตอนที่ฉันเริ่มรู้สึกไม่ดีหรือเห็นฝุ่นเท่านั้น,2-3 ครั้งต่อสัปดาห์,ฉันสวมเพราะต้องการดูแลและป้องกันสุขภาพของตัวเอง,ใช่ มันกลายเป็นเรื่องปกติของทุกปีไปแล้ว,ฉันอยากย้ายออกไป แต่ไม่มีทางเลือกเพราะเรื่องงานหรือเรื่องเรียน,ใช่ ฉันรู้สึกปลอดภัยจากหมอกควันเมื่ออยู่ข้างใน,"การเผาพื้นที่เกษตรกรรมและไฟป่า, ควันจากรถยนต์เก่า รถบรรทุก และรถจักรยานยนต์, การเผาขยะ หรือการสูบบุหรี่ในที่สาธารณะ, ควันลอยมาจากพื้นที่ฝั่งประเทศเพื่อนบ้าน (ข้ามพรมแดน),",ตรวจสอบผ่านแอปพลิเคชันพยากรณ์อากาศหรือเว็บไซต์ (เช่น IQAir / AirVisual),ไม่ ฉันคิดว่ามันจะเหมือนเดิมหรือแย่ลงกว่าเดิม
R033,TH,Thai,Original,ฝุ่นควัน_PM2.5_ในพื้นที่แม่สอด_Maesot_and_Tak_Area_PM_2.5_response_Thai(1).csv,5/4/2026 16:21,"รู้สึกป่วย, เหนื่อยล้า หรือเวียนหัว",ต่ำกว่า 18 ปี,การออกกำลังกายหรือเดินเล่นนอกบ้าน,หน้ากากอนามัย,"มองเห็นภูเขาหรือตึกที่อยู่ไกลออกไปได้ยาก, ทุกอย่างดูเป็นสีเทาไปหมด","สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์, เดินทางโดยรถยนต์ (ปิดกระจก)",ฉันรู้สึกรำคาญใจเล็กน้อย,ใช่ บางครั้งฉันพูดน้อยลงเพราะต้องการใส่หน้ากากอนามัยไว้ตลอดเวลา,อยู่ในห้องที่เปิดเครื่องปรับอากาศ (แอร์) และปิดหน้าต่างทุกบาน,ออกไปเฉพาะเวลาทำงานหรือไปหาอาหารเท่านั้น,น่าจะเพราะความเคยชิน และสภาพอากาศที่ร้อนยิ่งใส่แมสก็ยิ่งรู้สึกอึดอัด,ใช่ เฉพาะตอนที่ฉันเริ่มรู้สึกไม่ดีหรือเห็นฝุ่นเท่านั้น,2-3 ครั้งต่อสัปดาห์,ฉันสวมเพราะต้องการดูแลและป้องกันสุขภาพของตัวเอง,ไม่ ฉันยังรู้สึกว่ามันเป็นปัญหาที่อันตรายและไม่ควรเป็นเรื่องปกติ,ฉันอยากย้ายออกไป แต่ไม่มีทางเลือกเพราะเรื่องงานหรือเรื่องเรียน,ใช่ ฉันรู้สึกปลอดภัยจากหมอกควันเมื่ออยู่ข้างใน,"การเผาพื้นที่เกษตรกรรมและไฟป่า, ควันจากรถยนต์เก่า รถบรรทุก และรถจักรยานยนต์, การเผาขยะ หรือการสูบบุหรี่ในที่สาธารณะ",ติดตามผ่านโซเชียลมีเดีย (เช่น กลุ่ม Facebook หรือ Line),ไม่ ฉันคิดว่ามันจะเหมือนเดิมหรือแย่ลงกว่าเดิม
R034,TH,Thai,Original,ฝุ่นควัน_PM2.5_ในพื้นที่แม่สอด_Maesot_and_Tak_Area_PM_2.5_response_Thai(1).csv,6/4/2026 9:47,"มีอาการแพ้ (จาม, แสบตา/คันตา)",มากกว่า 40 ปี,การออกกำลังกายหรือเดินเล่นนอกบ้าน,อุปกรณ์ทำความสะอาดภายในบ้าน,คนออกมาเดินเล่นหรือซื้อของน้อยลง,เดินทางโดยรถยนต์ (ปิดกระจก),ฉันรู้สึกปกติ / สงบ,ใช่ บางครั้งฉันพูดน้อยลงเพราะต้องการใส่หน้ากากอนามัยไว้ตลอดเวลา,อยู่ในห้องที่เปิดเครื่องปรับอากาศ (แอร์) และปิดหน้าต่างทุกบาน,ใช้เวลาเท่าเดิมตามปกติ,แล้วแต่ความคิดแต่ละคน,ไม่ ฉันใส่หน้ากากตลอดเวลาเพื่อความปลอดภัย,ทุกวัน,ฉันสวมเพราะต้องการดูแลและป้องกันสุขภาพของตัวเอง,ฉันพยายามที่จะไม่คิดถึงเรื่องนี้เลย,ฉันคิดว่าพื้นที่นี้ยังคงดีกว่าจังหวัดอื่นๆ,ฉันจะสวมหน้ากากก็ต่อเมื่อมีคนอยู่รอบๆจำนวนมากเท่านั้น,การเผาขยะ หรือการสูบบุหรี่ในที่สาธารณะ,ติดตามผ่านโซเชียลมีเดีย (เช่น กลุ่ม Facebook หรือ Line),ใช่ ฉันเชื่อว่ามันจะดีขึ้น
R035,TH,Thai,Original,ฝุ่นควัน_PM2.5_ในพื้นที่แม่สอด_Maesot_and_Tak_Area_PM_2.5_response_Thai(1).csv,6/4/2026 11:34,มีปัญหาทางด้านการหายใจหรือระบบทางเดินหายใจ,ต่ำกว่า 18 ปี,การเดินทางหรือไปเที่ยวรอบๆ พื้นที่แม่สอด,"หน้ากากอนามัย, อุปกรณ์ทำความสะอาดภายในบ้าน, เครื่องฟอกอากาศหรือแผ่นกรองอากาศใหม่","ผู้คนสวมหน้ากากอนามัยกันมากขึ้น, อากาศมีกลิ่นเหมือนการเผาไหม้หรือกลิ่นควันไม้","สวมหน้ากากอนามัย และพกสเปรย์แอลกอฮอล์, เดินทางโดยรถยนต์ (ปิดกระจก)",ฉันรู้สึกเครียดและกังวลมาก,ใช่ บางครั้งฉันพูดน้อยลงเพราะต้องการใส่หน้ากากอนามัยไว้ตลอดเวลา,อยู่ในห้องที่เปิดเครื่องปรับอากาศ (แอร์) และปิดหน้าต่างทุกบาน,น้อยลงกว่าเดิมเล็กน้อย,เนื่องจากหายใจไม่ค่อยสะดวก อาจรู้สึกอึดอัดด้วย และเนื่องด้วยอากาศร้อนจริงอาจทำให้เหงื่อไหลได้และร้อนง่าย,ใช่ เฉพาะตอนที่ฉันเริ่มรู้สึกไม่ดีหรือเห็นฝุ่นเท่านั้น,ทุกวัน,ฉันสวมเพราะต้องการดูแลและป้องกันสุขภาพของตัวเอง,ไม่ ฉันยังรู้สึกว่ามันเป็นปัญหาที่อันตรายและไม่ควรเป็นเรื่องปกติ,ฉันจะอยู่ที่นี่ต่อไปและยอมรับว่ามันเป็นส่วนหนึ่งของชีวิต,ใช่ เพราะทำให้คุยกันและกินอาหารได้สะดวกกว่า,"การเผาพื้นที่เกษตรกรรมและไฟป่า, การเผาขยะ หรือการสูบบุหรี่ในที่สาธารณะ",ติดตามผ่านโซเชียลมีเดีย (เช่น กลุ่ม Facebook หรือ Line),ไม่ ฉันคิดว่ามันจะเหมือนเดิมหรือแย่ลงกว่าเดิม
